p,size of spine,size of center,size of graph,Fp vertices in center
2017,6,168,168,6
2027,22,140,170,12
2029,17,162,169,14
2039,45,123,171,15
2053,9,124,171,2
2063,45,135,173,23
2069,19,142,173,8
2081,30,2,174,0
2083,14,2,174,0
2087,35,136,175,12
2089,22,146,174,10
2099,38,143,176,25
2111,49,127,177,25
2113,8,176,176,8
2129,28,145,178,17
2131,26,162,178,14
2137,8,172,178,6
2141,39,144,179,16
2143,13,172,179,8
2153,16,2,180,0
2161,18,178,180,16
2179,14,2,182,0
2203,10,155,184,7
2207,39,126,185,4
2213,21,102,185,4
2221,9,170,185,8
2237,15,159,187,7
2239,35,132,187,6
2243,30,151,188,17
2251,14,175,188,9
2267,22,173,190,15
2269,15,169,189,9
2273,24,157,190,9
2281,10,190,190,10
2287,29,162,191,14
2293,7,176,191,4
2297,20,173,192,11
2309,33,134,193,16
2311,29,165,193,11
2333,17,165,195,9
2339,38,152,196,18
2341,15,186,195,10
2347,10,196,196,10
2351,63,138,197,22
2357,21,128,197,10
2371,26,175,198,15
2377,8,190,198,6
2381,19,140,199,12
2383,29,137,199,5
2389,17,147,199,7
2393,30,159,200,13
2399,59,101,201,13
2411,46,129,202,11
2417,18,138,202,12
2423,33,119,203,13
2437,9,160,203,6
2441,38,146,204,24
2447,37,115,205,17
2459,38,148,206,12
2467,14,206,206,14
2473,10,154,206,6
2477,19,150,207,6
2503,21,140,209,8
2521,16,151,210,5
2531,34,147,212,17
2539,22,139,212,11
2543,35,124,213,10
2549,35,99,213,5
2551,41,123,213,9
2557,9,144,213,6
2579,42,115,216,15
2591,57,108,217,10
2593,12,137,216,5
2609,42,111,218,13
2617,16,149,218,11
2621,31,114,219,6
2633,16,148,220,10
2647,15,171,221,5
2657,16,120,222,6
2659,26,153,222,7
2663,43,134,223,12
2671,23,180,223,12
2677,11,135,223,1
2683,10,185,224,5
2687,51,141,225,13
2689,12,191,224,7
2693,21,101,225,9
2699,30,140,226,8
2707,14,212,226,14
2711,53,80,227,14
2713,12,151,226,1
2719,41,110,227,2
2729,40,144,228,16
2731,22,169,228,7
2741,29,103,229,5
2749,21,182,229,8
2753,14,126,230,4
2767,21,170,231,6
2777,20,142,232,12
2789,41,143,233,9
2791,39,115,233,3
2797,9,144,233,4
2801,30,119,234,5
2803,18,168,234,10
2819,42,102,236,10
2833,16,159,236,3
2837,23,90,237,2
2843,30,125,238,5
2851,22,92,238,4
2857,10,156,238,4
2861,33,98,239,2
2879,57,103,241,9
2887,25,160,241,6
2897,18,150,242,10
2903,59,113,243,7
2909,35,149,243,13
2917,11,175,243,5
2927,31,97,245,3
2939,58,98,246,4
2953,12,172,246,8
2957,27,145,247,11
2963,26,63,248,1
2969,26,134,248,8
2971,22,171,248,13
2999,73,76,251,0
3001,20,170,250,12
3011,42,113,252,9
3019,14,101,252,5
3023,47,90,253,2
3037,9,147,253,5
3041,42,87,254,9
3049,14,123,254,3
3061,15,110,255,4
3067,14,96,256,4
3079,41,105,257,3
3083,26,117,258,9
3089,20,118,258,6
3109,15,187,259,5
3119,69,60,261,2
3121,20,51,260,1
3137,28,55,262,5
3163,18,143,264,3
3167,53,54,265,2
3169,18,133,264,7
3181,27,93,265,3
3187,14,129,266,3
3191,69,44,267,0
3203,22,109,268,3
3209,40,58,268,4
3217,8,183,268,5
3221,31,85,269,7
3229,17,102,269,4
3251,62,119,272,5
3253,17,40,271,0
3257,18,84,272,4
3259,18,65,272,7
3271,27,85,273,3
3299,54,46,276,0
3301,17,75,275,3
3307,18,135,276,5
3313,12,41,276,1
3319,41,48,277,0
3323,34,130,278,6
3329,38,78,278,4
3331,30,87,278,1
3343,19,69,279,1
3347,22,88,280,6
3359,69,25,281,1
3361,12,92,280,2
3371,42,82,282,6
3373,13,119,281,5
3389,25,31,283,1
3391,37,95,283,1
3407,57,39,285,1
3413,21,79,285,1
3433,12,57,286,1
3449,50,63,288,3
3457,14,55,288,3
3461,47,42,289,2
3463,19,52,289,2
3467,38,46,290,2
3469,15,71,289,1
3491,46,32,292,0
3499,22,52,292,2
3511,41,46,293,2
3517,15,88,293,4
3527,65,48,295,2
3529,14,56,294,2
3533,35,26,295,0
3539,46,45,296,1
3541,19,34,295,0
3547,18,101,296,5
3557,17,32,297,0
3559,45,44,297,0
3571,30,57,298,3
3581,25,70,299,2
3583,29,45,299,1
3593,20,40,300,0
3607,19,43,301,1
3613,13,33,301,1
3617,30,43,302,5
3623,45,58,303,0
3631,43,28,303,0
3637,11,20,303,0
3643,18,98,304,2
3659,58,12,306,0
3671,81,14,307,0
3673,14,38,306,0
3677,17,16,307,0
3691,26,36,308,2
3697,10,40,308,0
3701,45,18,309,0
3709,21,28,309,0
3719,67,63,311,3
3727,31,32,311,2
3733,9,14,311,0
3739,22,85,312,3
3761,40,49,314,1
3767,39,24,315,0
3769,24,18,314,0
3779,62,5,316,1
3793,18,38,316,0
3797,29,16,317,0
3803,30,32,318,0
3821,47,22,319,0
3823,29,27,319,1
3833,22,19,320,1
3847,23,41,321,1
3851,50,11,322,1
3853,13,18,321,0
3863,61,30,323,0
3877,15,44,323,2
3881,36,14,324,0
3889,18,34,324,0
3907,14,24,326,0
3911,83,28,327,0
3917,21,28,327,0
3919,39,28,327,0
3923,46,31,328,1
3929,44,35,328,1
3931,22,13,328,1
3943,27,19,329,1
3947,34,21,330,3
3967,33,331,331,33
3989,49,18,333,0
4001,36,26,334,0
4003,26,24,334,0
4007,57,54,335,0
4013,21,10,335,0
4019,38,8,336,0
4021,31,10,335,0
4027,18,26,336,0
4049,36,16,338,0
4051,22,20,338,2
4057,10,10,338,0
4073,28,39,340,3
4079,85,2,341,0
4091,66,10,342,0
4093,13,36,341,0
4099,30,4,342,0
4111,39,5,343,1
4127,49,16,345,0
4129,18,12,344,0
4133,39,8,345,0
4139,38,12,346,0
4153,10,14,346,0
4157,41,6,347,0
4159,31,14,347,0
4177,20,2,348,0
4201,18,9,350,1
4211,46,8,352,0
4217,26,2,352,0
4219,30,4,352,0
4229,39,6,353,0
4231,51,8,353,0
4241,54,4,354,0
4243,18,6,354,0
4253,21,316,355,12
4259,70,2,356,0
4261,17,12,355,0
4271,65,345,357,55
4273,12,6,356,0
4283,42,8,358,0
4289,56,2,358,0
4297,18,1,358,1
4327,19,4,361,0
4337,18,3,362,1
4339,34,4,362,0
4349,21,2,363,0
4357,15,14,363,0
4363,18,18,364,2
4373,35,2,365,0
4391,79,4,367,0
4397,27,4,367,0
4409,34,3,368,1
4421,45,4,369,0
4423,33,355,369,23
4441,28,10,370,0
4447,17,2,371,0
4451,58,2,372,0
4457,30,2,372,0
4463,55,2,373,0
4481,32,7,374,1
4483,18,371,374,17
4493,19,2,375,0
4507,26,368,376,18
4513,12,2,376,0
4517,27,333,377,15
4519,29,367,377,21
4523,42,2,378,0
4547,34,362,380,32
4549,29,8,379,0
4561,18,8,380,0
4567,33,361,381,21
4583,61,2,383,0
4591,49,345,383,25
4597,19,2,383,0
4603,14,2,384,0
4621,13,4,385,0
4637,39,2,387,0
4639,51,359,387,33
4643,26,2,388,0
4649,44,342,388,30
4651,34,370,388,24
4657,12,386,388,10
4663,33,378,389,26
4673,26,364,390,22
4679,91,2,391,0
4691,42,363,392,31
4703,75,360,393,52
4721,44,2,394,0
4723,18,390,394,14
4729,20,390,394,20
4733,29,2,395,0
4751,91,326,397,48
4759,55,358,397,30
4783,23,6,399,0
4787,50,358,400,38
4789,15,396,399,12
4793,36,367,400,23
4799,63,338,401,32
4801,28,394,400,26
4813,15,377,401,11
4817,28,358,402,18
4831,33,389,403,27
4861,29,2,405,0
4871,91,2,407,0
4877,33,351,407,21
