p,size of spine,size of center,size of graph,Fp vertices in center
2017,6,61,168,1
2027,22,50,170,2
2029,17,52,169,2
2039,45,25,171,5
2053,9,52,171,0
2063,45,37,173,13
2069,19,35,173,1
2081,30,46,174,0
2083,14,60,174,2
2087,35,79,175,11
2089,22,51,174,3
2099,38,20,176,0
2111,49,62,177,2
2113,8,49,176,1
2129,28,87,178,3
2131,26,24,178,2
2137,8,70,178,2
2141,39,22,179,0
2143,13,57,179,5
2153,16,81,180,9
2161,18,36,180,0
2179,14,85,182,1
2203,10,22,184,0
2207,39,42,185,6
2213,21,42,185,4
2221,9,32,185,2
2237,15,44,187,2
2239,35,14,187,6
2243,30,44,188,2
2251,14,22,188,4
2267,22,26,190,0
2269,15,28,189,0
2273,24,16,190,0
2281,10,28,190,0
2287,29,32,191,4
2293,7,51,191,1
2297,20,32,192,0
2309,33,42,193,0
2311,29,41,193,5
2333,17,59,195,3
2339,38,13,196,1
2341,15,20,195,0
2347,10,54,196,0
2351,63,18,197,0
2357,21,5,197,1
2371,26,18,198,0
2377,8,16,198,0
2381,19,12,199,2
2383,29,12,199,0
2389,17,45,199,3
2393,30,10,200,0
2399,59,24,201,0
2411,46,4,202,0
2417,18,14,202,0
2423,33,26,203,6
2437,9,8,203,0
2441,38,99,204,7
2447,37,20,205,6
2459,38,14,206,0
2467,14,10,206,0
2473,10,34,206,0
2477,19,8,207,0
2503,21,4,209,0
2521,16,17,210,1
2531,34,4,212,0
2539,22,15,212,1
2543,35,14,213,4
2549,35,12,213,0
2551,41,4,213,0
2557,9,14,213,0
2579,42,9,216,1
2591,57,10,217,0
2593,12,10,216,0
2609,42,6,218,0
2617,16,163,218,11
2621,31,6,219,0
2633,16,5,220,1
2647,15,24,221,0
2657,16,6,222,0
2659,26,2,222,0
2663,43,1,223,1
2671,23,20,223,4
2677,11,2,223,0
2683,10,6,224,0
2687,51,120,225,14
2689,12,12,224,0
2693,21,168,225,6
2699,30,8,226,0
2707,14,8,226,0
2711,53,137,227,21
2713,12,4,226,0
2719,41,2,227,2
2729,40,76,228,2
2731,22,25,228,1
2741,29,4,229,0
2749,21,6,229,0
2753,14,8,230,0
2767,21,2,231,0
2777,20,185,232,5
2789,41,2,233,0
2791,39,3,233,1
2797,9,6,233,0
2801,30,6,234,0
2803,18,120,234,6
2819,42,117,236,11
2833,16,120,236,4
2837,23,4,237,0
2843,30,4,238,0
2851,22,10,238,0
2857,10,121,238,3
2861,33,170,239,8
2879,57,91,241,7
2887,25,164,241,10
2897,18,132,242,4
2903,59,2,243,0
2909,35,4,243,0
2917,11,2,243,0
2927,31,110,245,14
2939,58,131,246,9
2953,12,4,246,0
2957,27,125,247,5
2963,26,2,248,0
2969,26,4,248,0
2971,22,130,248,2
2999,73,113,251,11
3001,20,93,250,1
3011,42,111,252,5
3019,14,6,252,0
3023,47,146,253,18
3037,9,118,253,2
3041,42,2,254,0
3049,14,157,254,5
3061,15,14,255,0
3067,14,88,256,2
3079,41,2,257,0
3083,26,95,258,3
3089,20,2,258,0
3109,15,174,259,6
3119,69,78,261,6
3121,20,99,260,1
3137,28,138,262,6
3163,18,110,264,2
3167,53,103,265,7
3169,18,121,264,9
3181,27,169,265,5
3187,14,126,266,6
3191,69,2,267,0
3203,22,161,268,11
3209,40,103,268,5
3217,8,136,268,0
3221,31,73,269,3
3229,17,211,269,9
3251,62,39,272,3
3253,17,102,271,2
3257,18,128,272,2
3259,18,116,272,10
3271,27,156,273,12
3299,54,84,276,2
3301,17,212,275,8
3307,18,75,276,1
3313,12,135,276,3
3319,41,165,277,9
3323,34,64,278,0
3329,38,111,278,5
3331,30,105,278,1
3343,19,78,279,8
3347,22,2,280,0
3359,69,89,281,7
3361,12,1,280,1
3371,42,92,282,4
3373,13,156,281,2
3389,25,125,283,5
3391,37,84,283,6
3407,57,82,285,8
3413,21,2,285,0
3433,12,78,286,0
3449,50,105,288,1
3457,14,70,288,0
3461,47,36,289,2
3463,19,31,289,1
3467,38,98,290,6
3469,15,110,289,2
3491,46,137,292,1
