p,size of spine,size of center,size of graph,Fp vertices in center
10463,109,336,873,8
10477,25,357,873,3
10487,81,413,875,25
10499,82,336,876,6
10501,33,520,875,16
10513,20,460,876,12
10529,58,576,878,8
10531,54,263,878,3
10559,153,353,881,19
10567,39,413,881,9
10589,73,432,883,10
10597,19,326,883,0
10601,84,294,884,0
10607,71,422,885,18
10613,31,317,885,3
10627,18,502,886,6
10631,139,270,887,14
10639,75,258,887,20
10651,30,546,888,16
10657,24,328,888,2
10663,45,254,889,2
10667,78,404,890,10
10687,51,385,891,7
10691,90,484,892,6
10709,95,209,893,1
10711,65,497,893,25
10723,30,349,894,1
10729,44,391,894,7
10733,35,374,895,6
10739,74,298,896,4
10753,18,479,896,3
10771,42,393,898,9
10781,59,431,899,7
10789,21,481,899,7
10799,153,276,901,6
10831,59,482,903,26
10837,19,359,903,3
10847,63,253,905,11
10853,53,377,905,3
10859,90,155,906,1
10861,29,351,905,5
10867,46,251,906,1
10883,46,402,908,12
10889,62,389,908,7
10891,38,354,908,6
10903,41,400,909,12
10909,39,334,909,4
10937,42,370,912,2
10939,54,246,912,0
10949,63,290,913,2
10957,15,444,913,4
10973,51,435,915,5
10979,70,233,916,1
10987,22,415,916,5
10993,20,255,916,1
11003,54,328,918,2
11027,54,298,920,4
11047,41,414,921,8
11057,36,410,922,8
11059,50,323,922,3
11069,41,421,923,3
11071,53,375,923,27
11083,30,320,924,6
11087,97,304,925,12
11093,59,375,925,1
11113,14,346,926,4
11117,33,476,927,6
11119,75,251,927,5
11131,50,277,928,3
11149,39,417,929,5
11159,91,250,931,8
11161,42,196,930,0
11171,122,174,932,2
11173,19,385,931,3
11177,54,251,932,3
11197,19,411,933,1
11213,37,297,935,1
11239,71,369,937,17
11243,50,204,938,6
11251,34,357,938,13
11257,18,380,938,4
11261,87,381,939,7
11273,40,261,940,1
11279,105,228,941,4
11287,53,153,941,3
11299,38,260,942,4
11311,73,219,943,7
11317,21,362,943,4
11321,66,322,944,2
11329,28,331,944,7
11351,109,325,947,17
11353,24,298,946,2
11369,60,352,948,4
11383,27,333,949,5
11393,42,293,950,5
11399,141,216,951,4
11411,70,286,952,4
11423,107,195,953,7
11437,35,377,953,9
11443,34,179,954,1
11447,63,264,955,8
11467,26,360,956,10
11471,143,167,957,5
11483,82,206,958,0
11489,54,226,958,2
11491,54,345,958,13
11497,28,110,958,0
11503,35,370,959,10
11519,125,241,961,7
11527,61,156,961,6
11549,67,269,963,1
11551,57,280,963,20
11579,94,198,966,2
11587,26,312,966,4
11593,28,168,966,4
11597,49,236,967,2
11617,16,278,968,2
11621,51,282,969,8
11633,36,358,970,12
11657,42,403,972,13
11677,19,387,973,3
11681,90,182,974,0
11689,36,241,974,3
11699,98,69,976,1
11701,31,207,975,9
11717,73,134,977,0
11719,41,349,977,23
11731,42,238,978,2
11743,39,332,979,6
11777,60,268,982,4
11779,54,165,982,5
11783,95,203,983,7
11789,49,277,983,5
11801,70,186,984,2
11807,113,152,985,0
11813,49,257,985,5
11821,43,267,985,5
11827,26,219,986,3
11831,139,252,987,2
11833,40,227,986,1
11839,61,201,987,19
11863,31,128,989,4
11867,50,153,990,1
11887,47,238,991,6
11897,40,168,992,0
11903,81,159,993,3
11909,69,201,993,1
11923,26,289,994,7
11927,83,315,995,11
11933,49,195,995,3
11939,54,197,996,1
11941,41,195,995,5
11953,22,226,996,4
11959,95,240,997,6
11969,80,172,998,0
11971,30,306,998,2
11981,71,95,999,1
11987,82,84,1000,0
12007,35,117,1001,7
12011,130,237,1002,1
12037,21,285,1003,5
12041,70,180,1004,0
12043,26,183,1004,1
12049,28,264,1004,0
12071,141,117,1007,3
12073,34,397,1006,5
12097,18,343,1008,5
12101,57,69,1009,1
12107,42,216,1010,8
12109,33,191,1009,3
12113,74,90,1010,0
12119,135,211,1011,1
12143,121,134,1013,2
12149,41,194,1013,0
12157,27,178,1013,0
12161,56,198,1014,2
12163,30,117,1014,1
12197,63,121,1017,1
12203,46,149,1018,3
12211,50,175,1018,1
12227,82,185,1020,1
12239,161,140,1021,0
12241,32,136,1020,0
12251,94,73,1022,1
12253,25,140,1021,0
12263,105,111,1023,3
12269,77,126,1023,0
12277,21,149,1023,1
12281,72,110,1024,0
12289,42,156,1024,2
12301,29,145,1025,1
12323,58,178,1028,0
12329,46,327,1028,3
12343,37,195,1029,5
12347,62,146,1030,2
12373,19,154,1031,0
12377,46,208,1032,4
12379,50,127,1032,1
12391,63,125,1033,7
12401,58,302,1034,2
12409,30,146,1034,0
12413,33,147,1035,3
12421,43,440,1035,2
12433,14,223,1036,1
12437,59,113,1037,1
12451,50,134,1038,4
12457,22,107,1038,3
12473,50,72,1040,0
12479,159,238,1041,0
12487,51,56,1041,2
12491,110,74,1042,0
12497,40,165,1042,1
12503,101,87,1043,3
12511,43,206,1043,0
12517,23,237,1043,1
12527,71,171,1045,1
12539,78,82,1046,4
12541,31,152,1045,2
12547,42,132,1046,0
12553,18,163,1046,3
12569,62,43,1048,1
12577,24,227,1048,1
12583,37,207,1049,13
12589,35,154,1049,2
12601,40,161,1050,5
12611,82,94,1052,2
12613,31,118,1051,0
12619,66,98,1052,0
12637,21,146,1053,0
12641,76,112,1054,4
12647,121,192,1055,2
12653,37,166,1055,8
12659,90,134,1056,0
12671,131,91,1057,3
12689,82,98,1058,0
12697,22,82,1058,0
12703,55,56,1059,0
12713,50,193,1060,3
12721,22,163,1060,7
12739,46,135,1062,1
12743,97,110,1063,2
12757,33,118,1063,2
12763,30,142,1064,0
12781,35,71,1065,1
12791,107,158,1067,12
12799,93,34,1067,2
12809,92,124,1068,0
12821,67,86,1069,0
12823,47,83,1069,3
12829,29,62,1069,0
12841,42,83,1070,1
12853,19,147,1071,1
12889,28,104,1074,0
12893,37,96,1075,0
12899,130,106,1076,0
12907,34,44,1076,0
12911,165,38,1077,0
12917,37,187,1077,1
12919,67,121,1077,3
12923,62,63,1078,1
12941,77,73,1079,1
12953,56,130,1080,0
12959,99,89,1081,7
12967,37,108,1081,2
12973,21,91,1081,3
12979,50,88,1082,0
12983,101,42,1083,0
13001,72,46,1084,0
13003,22,103,1084,1
13007,59,109,1085,5
13009,50,194,1084,0
13033,20,129,1086,1
13037,65,69,1087,1
13043,62,95,1088,1
13049,70,129,1088,3
13063,51,104,1089,6
13093,21,54,1091,0
13099,46,77,1092,1
13103,131,170,1093,0
13109,99,44,1093,0
13121,72,50,1094,0
13127,69,145,1095,17
13147,30,82,1096,0
13151,153,100,1097,0
13159,83,56,1097,0
13163,78,58,1098,0
13171,42,137,1098,3
13177,32,64,1098,0
13183,33,98,1099,2
13187,46,88,1100,4
13217,60,101,1102,1
13219,62,93,1102,1
13229,77,66,1103,0
13241,56,75,1104,1
13249,34,143,1104,1
13259,94,78,1106,0
13267,22,38,1106,0
13291,42,86,1108,0
13297,14,44,1108,0
13309,39,87,1109,3
13313,62,44,1110,0
13327,69,78,1111,0
13331,114,28,1112,0
13337,38,68,1112,2
13339,42,51,1112,3
13367,99,155,1115,3
13381,31,76,1115,2
13397,63,126,1117,0
13399,53,58,1117,4
13411,54,46,1118,0
13417,34,68,1118,0
13421,55,76,1119,4
13441,32,84,1120,2
13451,90,53,1122,1
13457,42,50,1122,0
13463,79,57,1123,1
13469,63,37,1123,1
13477,25,48,1123,0
13487,81,55,1125,5
13499,114,38,1126,0
13513,20,20,1126,0
13523,78,12,1128,0
13537,30,30,1128,0
13553,38,70,1130,0
13567,41,82,1131,0
13577,36,76,1132,0
13591,69,86,1133,2
13597,21,45,1133,1
13613,61,28,1135,0
13619,66,56,1136,0
13627,34,30,1136,0
13633,20,44,1136,2
13649,90,40,1138,0
13669,51,10,1139,0
13679,147,51,1141,1
13681,46,66,1140,0
13687,31,84,1141,0
13691,94,26,1142,0
13693,21,103,1141,3
13697,50,40,1142,0
13709,57,62,1143,0
13711,89,10,1143,0
13721,56,71,1144,1
13723,42,52,1144,0
13729,26,117,1144,3
13751,171,14,1147,0
13757,43,41,1147,1
13759,57,62,1147,0
13763,58,43,1148,1
13781,79,45,1149,1
13789,51,20,1149,0
13799,103,29,1151,1
13807,65,8,1151,0
13829,81,16,1153,0
13831,77,18,1153,0
13841,48,32,1154,0
13859,134,16,1156,0
13873,30,46,1156,0
13877,37,15,1157,1
13879,85,22,1157,2
13883,58,26,1158,0
13901,97,10,1159,0
13903,49,37,1159,3
13907,90,57,1160,1
13913,34,37,1160,1
13921,48,29,1160,1
13931,66,8,1162,0
13933,29,58,1161,2
13963,30,28,1164,0
13967,79,22,1165,2
13997,41,22,1167,0
13999,91,4,1167,0
14009,52,34,1168,0
14011,50,15,1168,3
14029,27,38,1169,0
14033,54,18,1170,0
14051,82,8,1172,0
14057,44,52,1172,0
14071,55,21,1173,5
14081,62,32,1174,0
14083,34,16,1174,0
14087,123,20,1175,0
14107,22,66,1176,0
14143,75,30,1179,0
14149,23,22,1179,0
14153,68,22,1180,0
14159,173,4,1181,0
14173,27,4,1181,0
14177,38,39,1182,1
14197,29,82,1183,2
14207,81,18,1185,0
14221,27,23,1185,1
14243,54,4,1188,0
14249,54,12,1188,0
14251,66,38,1188,0
14281,36,11,1190,1
14293,25,20,1191,0
14303,93,6,1193,0
14321,96,20,1194,0
14323,30,6,1194,0
14327,119,2,1195,0
14341,35,36,1195,0
14347,26,16,1196,0
14369,84,28,1198,0
14387,58,26,1200,0
14389,27,52,1199,0
14401,44,18,1200,0
14407,55,6,1201,2
14411,82,10,1202,0
14419,42,16,1202,0
14423,113,32,1203,0
14431,85,18,1203,2
14437,25,14,1203,0
14447,97,13,1205,1
14449,32,12,1204,0
14461,39,10,1205,0
14479,71,11,1207,1
14489,80,26,1208,0
14503,45,14,1209,0
14519,139,12,1211,0
14533,27,10,1211,0
14537,74,10,1212,0
14543,91,22,1213,0
14549,79,38,1213,0
14551,95,6,1213,0
14557,23,16,1213,0
14561,70,18,1214,0
14563,42,14,1214,0
14591,147,4,1217,0
14593,24,29,1216,1
14621,105,4,1219,0
14627,62,12,1220,0
14629,53,26,1219,0
14633,46,28,1220,0
14639,135,2,1221,0
14653,19,22,1221,0
14657,42,6,1222,0
14669,69,14,1223,0
14683,22,16,1224,0
14699,110,62,1226,0
14713,26,34,1226,0
14717,63,2,1227,0
14723,54,16,1228,0
14731,62,8,1228,0
14737,28,20,1228,0
14741,89,31,1229,1
14747,86,8,1230,0
14753,36,38,1230,0
14759,181,20,1231,0
14767,37,14,1231,2
14771,102,12,1232,0
14779,34,16,1232,4
14783,117,1047,1233,59
14797,37,1073,1233,13
14813,35,38,1235,0
14821,29,25,1235,1
14827,30,20,1236,0
14831,141,6,1237,0
14843,78,863,1238,23
14851,30,2,1238,0
14867,78,22,1240,0
14869,33,16,1239,0
14879,145,18,1241,0
14887,41,6,1241,0
14891,102,4,1242,0
14897,36,6,1242,0
14923,50,18,1244,0
14929,48,8,1244,0
14939,70,24,1246,0
14947,34,20,1246,0
14951,185,868,1247,46
14957,65,22,1247,0
14969,90,2,1248,0
14983,41,10,1249,0
15013,29,1052,1251,14
15017,34,1112,1252,20
15031,67,14,1253,4
15053,59,927,1255,19
15061,33,21,1255,1
15073,16,12,1256,0
15077,71,10,1257,0
15083,94,4,1258,0
15091,38,14,1258,0
15101,43,2,1259,0
15107,54,14,1260,0
15121,36,16,1260,0
15131,110,9,1262,1
15137,46,1077,1262,23
15139,58,1067,1262,25
15149,85,8,1263,0
15161,80,8,1264,0
15173,39,26,1265,0
15187,30,1086,1266,16
15193,34,6,1266,0
15199,69,8,1267,0
15217,24,2,1268,0
15227,58,2,1270,0
15233,50,2,1270,0
15241,42,10,1270,0
15259,74,16,1272,0
15263,131,2,1273,0
15269,57,1,1273,1
15271,63,2,1273,0
15277,25,8,1273,0
15287,137,995,1275,63
15289,42,3,1274,1
15299,66,2,1276,0
15307,46,984,1276,24
15313,24,8,1276,0
15319,87,6,1277,2
15329,94,4,1278,0
15331,38,8,1278,0
15349,31,4,1279,0
15359,111,4,1281,0
15361,32,10,1280,0
15373,21,1,1281,1
15377,62,12,1282,0
15383,105,14,1283,0
15391,93,996,1283,38
15401,68,1139,1284,33
15413,55,2,1285,0
15427,42,1015,1286,13
15439,59,12,1287,0
15443,58,1056,1288,30
15451,46,14,1288,0
15461,117,2,1289,0
15467,58,968,1290,24
15473,70,4,1290,0
15493,25,1068,1291,8
15497,48,10,1292,0
15511,65,954,1293,36
15527,71,8,1295,0
15541,31,1158,1295,22
15551,153,966,1297,56
15559,73,5,1297,1
15569,56,1085,1298,25
15581,73,1020,1299,30
15583,47,1061,1299,25
15601,46,2,1300,0
15607,39,3,1301,1
15619,50,26,1302,0
15629,71,2,1303,0
15641,96,4,1304,0
15643,30,1000,1304,14
15647,79,1,1305,1
15649,38,2,1304,0
15661,47,6,1305,0
15667,22,1119,1306,9
15671,167,8,1307,0
15679,79,4,1307,0
15683,90,6,1308,0
15727,73,2,1311,0
15731,90,1096,1312,42
15733,21,1044,1311,14
15737,44,6,1312,0
15739,54,2,1312,0
15749,77,1074,1313,24
15761,56,2,1314,0
15767,101,939,1315,25
15773,39,1066,1315,24
15787,26,4,1316,0
15791,195,2,1317,0
15797,49,1025,1317,17
15803,70,988,1318,18
15809,108,2,1318,0
15817,20,1286,1318,20
15823,61,964,1319,30
15859,58,2,1322,0
15877,25,6,1323,0
15881,74,4,1324,0
15887,109,2,1325,0
15889,42,4,1324,0
15901,33,1069,1325,19
15907,30,4,1326,0
15913,32,4,1326,0
15919,51,3,1327,1
15923,62,4,1328,0
15937,38,2,1328,0
15959,171,880,1331,56
15971,86,2,1332,0
15973,33,1077,1331,9
15991,105,1063,1333,55
16001,94,2,1334,0
16007,133,990,1335,52
16033,38,4,1336,0
16057,36,1107,1338,21
16061,87,1022,1339,24
16063,49,980,1339,24
16067,82,4,1340,0
16069,39,2,1339,0
16073,56,4,1340,0
16087,39,961,1341,23
16091,122,932,1342,22
16097,42,2,1342,0
16103,141,940,1343,52
16111,91,1,1343,1
16127,91,999,1345,37
16139,78,1085,1346,27
16141,45,1108,1345,32
16183,67,4,1349,0
16187,82,2,1350,0
16189,45,2,1349,2
16193,32,1116,1350,16
16217,52,4,1352,0
16223,67,5,1353,1
16229,73,2,1353,0
16231,95,981,1353,37
16249,30,4,1354,0
16253,83,2,1355,0
16267,46,2,1356,0
16273,34,816,1356,10
16301,117,961,1359,17
16319,153,960,1361,32
16333,21,1235,1361,17
16339,42,3,1362,1
16349,59,1051,1363,17
16361,66,1023,1364,25
16363,38,1075,1364,21
16369,38,1009,1364,19
16381,45,1070,1365,32
16411,54,2,1368,0
16417,16,2,1368,0
16421,89,895,1369,17
16427,58,922,1370,24
16433,52,1042,1370,22
16447,53,1040,1371,38
16451,70,1013,1372,19
16453,25,1220,1371,18
16477,27,814,1373,12
16481,98,989,1374,19
16487,93,957,1375,41
16493,35,1097,1375,19
16519,111,2,1377,0
16529,70,1076,1378,16
16547,54,2,1380,0
16553,50,958,1380,20
16561,42,1162,1380,32
16567,65,754,1381,18
16573,25,1055,1381,11
16603,30,856,1384,6
16607,119,1067,1385,33
16619,66,890,1386,20
16631,183,769,1387,29
16633,18,1182,1386,10
16649,102,983,1388,13
16651,70,952,1388,16
16657,22,1183,1388,11
16661,67,1062,1389,16
16673,72,1066,1390,16
16691,114,817,1392,7
16693,31,2,1391,0
16699,34,4,1392,0
16703,93,911,1393,35
16729,42,918,1394,12
16741,45,1134,1395,32
16747,38,1071,1396,19
16759,61,1051,1397,43
16763,94,778,1398,22
16787,78,969,1400,29
16811,94,2,1402,0
16823,95,1,1403,1
16829,75,1049,1403,25
16831,93,935,1403,29
16843,30,914,1404,6
16871,159,845,1407,49
16879,63,1093,1407,37
16883,90,939,1408,19
16889,72,905,1408,7
16901,101,2,1409,0
16903,71,959,1409,27
16921,24,1037,1410,17
16927,37,1064,1411,24
16931,138,834,1412,24
16937,48,948,1412,10
16943,135,794,1413,18
16963,26,852,1414,6
16979,126,1008,1416,18
16981,63,2,1415,0
16987,42,1073,1416,17
16993,18,1063,1416,7
17011,38,1077,1418,23
17021,57,1191,1419,21
17027,98,2,1420,0
17029,37,1133,1419,21
17033,42,1128,1420,24
17041,42,1140,1420,24
17047,59,1064,1421,30
17053,29,1180,1421,14
17077,23,1128,1423,10
17093,75,1072,1425,20
17099,122,849,1426,23
17107,42,884,1426,10
17117,47,1080,1427,22
17123,70,967,1428,19
17137,28,981,1428,9
17159,159,923,1431,37
17167,61,952,1431,26
17183,117,1023,1433,39
17189,91,941,1433,17
17191,91,889,1433,27
17203,46,1072,1434,20
17207,65,838,1435,28
17209,42,1149,1434,21
17231,111,967,1437,45
17239,109,1018,1437,58
17257,20,1095,1438,11
17291,114,791,1442,23
17293,41,947,1441,5
17299,38,1141,1442,23
17317,27,1065,1443,11
17321,98,2,1444,0
17327,107,916,1445,36
17333,45,1176,1445,18
17341,47,1134,1445,28
17351,167,921,1447,31
17359,105,1090,1447,52
17377,36,1024,1448,16
17383,39,830,1449,18
17387,102,876,1450,20
17389,31,1077,1449,13
17393,86,835,1450,11
17401,44,983,1450,23
17417,50,1146,1452,22
17419,66,1007,1452,23
17431,71,1110,1453,50
17443,54,805,1454,11
17449,48,996,1454,18
17467,30,1004,1456,12
17471,183,900,1457,18
17477,57,974,1457,14
17483,50,1017,1458,17
17489,106,2,1458,0
17491,58,1026,1458,10
17497,34,942,1458,12
17509,35,1191,1459,25
17519,179,781,1461,21
17539,38,2,1462,0
17551,77,1,1463,1
17569,58,766,1464,4
17573,69,743,1465,9
17579,102,931,1466,13
17581,27,1112,1465,20
17597,69,863,1467,9
17599,85,1222,1467,48
17609,70,1057,1468,23
17623,43,968,1469,22
17627,54,906,1470,24
17657,56,1028,1472,18
17659,54,950,1472,16
17669,63,814,1473,12
17681,102,863,1474,9
17683,38,811,1474,9
17707,42,1190,1476,22
17713,30,765,1476,3
17729,116,977,1478,17
17737,22,970,1478,10
17747,54,969,1480,15
17749,51,1093,1479,25
17761,54,1072,1480,24
17783,149,810,1483,12
17789,71,1137,1483,25
17791,49,982,1483,36
17807,139,857,1485,31
17827,34,799,1486,11
17837,57,847,1487,13
17839,105,886,1487,32
17851,46,1009,1488,21
17863,81,1063,1489,27
17881,46,749,1490,11
17891,126,853,1492,15
17903,85,1067,1493,29
17909,93,894,1493,10
17911,93,1047,1493,53
17921,70,1069,1494,25
17923,30,946,1494,12
17929,38,1178,1494,18
17939,142,736,1496,6
17957,55,894,1497,14
17959,67,916,1497,30
17971,42,1101,1498,11
17977,20,1109,1498,9
17981,87,768,1499,16
17987,62,854,1500,14
17989,45,888,1499,6
18013,19,698,1501,10
18041,74,854,1504,16
18043,30,933,1504,7
18047,111,827,1505,49
18049,42,988,1504,16
18059,114,792,1506,6
18061,31,1105,1505,19
18077,55,809,1507,21
18089,72,934,1508,14
18097,34,1247,1508,23
18119,205,548,1511,18
18121,62,1055,1510,25
18127,39,860,1511,14
18131,114,984,1512,18
18133,27,872,1511,8
18143,107,864,1513,14
18149,93,770,1513,16
18169,34,1187,1514,17
18181,31,884,1515,10
18191,213,960,1517,28
18199,91,870,1517,20
18211,50,880,1518,18
18217,28,915,1518,13
18223,69,949,1519,27
18229,41,1160,1519,16
18233,66,721,1520,5
18251,102,831,1522,19
18253,21,1051,1521,9
18257,44,671,1522,9
18269,103,1004,1523,18
18287,111,889,1525,35
18289,36,1092,1524,12
18301,53,1037,1525,9
18307,34,928,1526,12
18311,195,936,1527,22
18313,24,786,1526,6
18329,100,855,1528,11
18341,63,808,1529,10
18353,60,745,1530,9
18367,59,707,1531,19
18371,90,770,1532,10
18379,46,1121,1532,23
18397,17,1001,1533,7
18401,66,1016,1534,14
18413,63,830,1535,6
18427,42,571,1536,21
18433,28,890,1536,18
18439,43,687,1537,19
18443,118,686,1538,2
18451,70,924,1538,18
18457,40,843,1538,7
18461,73,869,1539,11
18481,36,912,1540,10
18493,33,795,1541,5
18503,93,599,1543,15
18517,19,973,1543,5
18521,114,612,1544,2
18523,30,1051,1544,9
18539,126,765,1546,5
18541,53,983,1545,9
18553,32,814,1546,6
18583,61,727,1549,9
18587,54,917,1550,13
18593,48,862,1550,8
18617,54,874,1552,14
18637,25,901,1553,9
18661,35,1058,1555,12
18671,139,786,1557,20
18679,85,634,1557,22
18691,66,861,1558,15
18701,59,905,1559,15
18713,54,978,1560,14
18719,175,693,1561,15
18731,86,653,1562,5
18743,121,886,1563,22
18749,99,842,1563,12
18757,23,976,1563,14
18773,73,820,1565,12
18787,54,784,1566,6
18793,32,908,1566,10
18797,45,786,1567,8
18803,62,929,1568,9
18839,147,768,1571,20
18859,54,1010,1572,22
18869,71,721,1573,9
18899,126,662,1576,4
18911,161,786,1577,16
18913,30,874,1576,4
18917,81,832,1577,10
18919,117,887,1577,25
18947,74,966,1580,10
18959,195,813,1581,17
18973,25,832,1581,4
18979,42,1049,1582,11
19001,72,696,1584,2
19009,38,1027,1584,13
19013,37,793,1585,5
19031,203,564,1587,6
19037,51,942,1587,22
19051,54,910,1588,10
19069,35,947,1589,23
19073,66,499,1590,3
19079,117,899,1591,23
19081,60,864,1590,10
19087,83,627,1591,17
19121,48,1052,1594,20
19139,114,658,1596,6
19141,49,897,1595,13
19157,77,645,1597,15
19163,66,721,1598,7
19181,81,516,1599,8
19183,57,781,1599,11
19207,47,591,1601,7
19211,150,549,1602,1
19213,31,909,1601,5
19219,62,724,1602,18
19231,87,970,1603,16
19237,21,794,1603,8
19249,68,922,1604,14
19259,70,612,1606,16
19267,50,979,1606,15
19273,20,993,1606,9
19289,78,783,1608,7
19301,81,820,1609,14
19309,51,805,1609,11
19319,195,779,1611,9
19333,33,848,1611,12
19373,63,848,1615,10
19379,162,550,1616,4
19381,55,773,1615,11
19387,30,723,1616,11
19391,109,531,1617,11
19403,74,643,1618,5
19417,34,839,1618,7
19421,119,601,1619,5
19423,83,532,1619,10
19427,54,897,1620,15
19429,37,983,1619,9
19433,54,739,1620,15
19441,28,590,1620,8
19447,53,658,1621,24
19457,44,646,1622,6
19463,127,541,1623,15
19469,83,823,1623,9
19471,73,697,1623,9
19477,37,734,1623,8
19483,42,774,1624,10
19489,42,624,1624,10
19501,49,625,1625,3
19507,38,683,1626,7
19531,42,565,1628,7
19541,73,701,1629,7
19543,65,825,1629,13
19553,54,681,1630,7
19559,143,992,1631,40
19571,138,867,1632,5
19577,66,705,1632,5
19583,99,857,1633,19
19597,25,858,1633,14
19603,54,757,1634,7
19609,40,516,1634,2
19661,99,499,1639,7
19681,42,931,1640,19
19687,81,854,1641,16
19697,62,683,1642,7
19699,50,665,1642,13
19709,83,600,1643,6
19717,29,475,1643,3
19727,67,869,1645,21
19739,122,405,1646,3
19751,171,548,1647,10
19753,44,559,1646,3
19759,101,785,1647,15
19763,82,725,1648,19
19777,28,649,1648,3
19793,36,795,1650,11
19801,48,800,1650,8
19813,49,630,1651,8
19819,42,680,1652,6
19841,120,675,1654,7
19843,54,736,1654,4
19853,37,662,1655,8
19861,37,664,1655,6
19867,30,605,1656,7
19889,86,682,1658,4
19891,50,904,1658,16
19913,56,646,1660,10
19919,135,609,1661,9
19927,75,403,1661,7
19937,38,927,1662,9
19949,99,630,1663,8
19961,64,724,1664,12
19963,34,552,1664,2
19973,45,817,1665,11
19979,102,698,1666,6
19991,199,539,1667,3
19993,30,528,1666,2
19997,75,699,1667,5
