prime,compDiamData,fullDiamData
757,"([1, 1, 0], 2/3, 1, 1)",2/3
761,"([3, 1, 1, 1, 1, 1, 1, 1, 1], 11/9, 1, 1)",11/9
769,"([1, 1, 1, 1, 1], 1, 1, 1)",1
773,"([1, 1, 1, 1, 1, 1, 0], 6/7, 1, 1)",6/7
787,"([2, 2, 1], 5/3, 2, 2)",5/3
797,"([1, 1, 1, 1, 1, 1, 1, 0], 7/8, 1, 1)",7/8
809,"([3, 1, 1, 1, 1, 1, 1], 9/7, 1, 1)",9/7
811,"([2, 2, 2, 1], 7/4, 2, 2)",7/4
821,"([3, 1, 1, 1, 1, 1, 0], 8/7, 1, 1)",8/7
823,"([5], 5, 5, 5)",5
827,"([2, 2, 2, 1], 7/4, 2, 2)",7/4
829,"([1, 1, 1, 1, 1, 0], 5/6, 1, 1)",5/6
839,"([14], 14, 14, 14)",14
853,"([1, 1, 0], 2/3, 1, 1)",2/3
857,"([1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
859,"([2, 2, 2, 1], 7/4, 2, 2)",7/4
863,"([11], 11, 11, 11)",11
877,"([1, 1, 0], 2/3, 1, 1)",2/3
881,"([3, 1, 1, 1, 1, 1, 1, 1, 1], 11/9, 1, 1)",11/9
883,"([2, 1], 3/2, 3/2, 1)",3/2
887,"([15], 15, 15, 15)",15
907,"([2, 1], 3/2, 3/2, 1)",3/2
911,"([13], 13, 13, 13)",13
919,"([10], 10, 10, 10)",10
929,"([3, 1, 1, 1, 1, 1, 1, 1], 5/4, 1, 1)",5/4
937,"([1, 1, 1, 1, 1], 1, 1, 1)",1
941,"([3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0], 12/11, 1, 1)",12/11
947,"([2, 2, 1], 5/3, 2, 2)",5/3
953,"([1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
967,"([6], 6, 6, 6)",6
971,"([5, 2, 2, 2, 2, 2, 1], 16/7, 2, 2)",16/7
977,"([1, 1, 1, 1, 1], 1, 1, 1)",1
983,"([14], 14, 14, 14)",14
991,"([9], 9, 9, 9)",9
997,"([1, 1, 1, 0], 3/4, 1, 1)",3/4
1009,"([1, 1, 1, 1, 1], 1, 1, 1)",1
1013,"([1, 1, 1, 1, 1, 1, 0], 6/7, 1, 1)",6/7
1019,"([5, 2, 2, 2, 2, 1], 7/3, 2, 2)",7/3
1021,"([1, 1, 1, 1, 1, 0], 5/6, 1, 1)",5/6
1031,"([13], 13, 13, 13)",13
1033,"([1, 1, 1], 1, 1, 1)",1
1039,"([12], 12, 12, 12)",12
1049,"([3, 1, 1, 1, 1, 1, 1, 1, 1, 1], 6/5, 1, 1)",6/5
1051,"([2, 2, 1], 5/3, 2, 2)",5/3
1061,"([3, 1, 1, 1, 1, 0], 7/6, 1, 1)",7/6
1063,"([10], 10, 10, 10)",10
1069,"([1, 1, 1, 1, 1, 1, 1, 0], 7/8, 1, 1)",7/8
1087,"([5], 5, 5, 5)",5
1091,"([5, 2, 2, 2, 2, 2, 2, 1], 9/4, 2, 2)",9/4
1093,"([1, 1, 0], 2/3, 1, 1)",2/3
1097,"([1, 1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
1103,"([12], 12, 12, 12)",12
1109,"([3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0], 13/12, 1, 1)",13/12
1117,"([1, 1, 1, 0], 3/4, 1, 1)",3/4
1123,"([2, 2, 1], 5/3, 2, 2)",5/3
1129,"([1, 1, 1, 1], 1, 1, 1)",1
1151,"([16], 16, 16, 16)",16
1153,"([1, 1, 1, 1], 1, 1, 1)",1
1163,"([2, 2, 2, 1], 7/4, 2, 2)",7/4
1171,"([2, 2, 2, 1], 7/4, 2, 2)",7/4
1181,"([3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0], 12/11, 1, 1)",12/11
1187,"([2, 2, 2, 2, 1], 9/5, 2, 2)",9/5
1193,"([1, 1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
1201,"([1, 1, 1, 1], 1, 1, 1)",1
1213,"([1, 1, 0], 2/3, 1, 1)",2/3
1217,"([1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
1223,"([18], 18, 18, 18)",18
1229,"([3, 1, 1, 1, 1, 1, 1, 1, 0], 10/9, 1, 1)",10/9
1231,"([14], 14, 14, 14)",14
1237,"([1, 1, 1, 0], 3/4, 1, 1)",3/4
1249,"([1, 1, 1, 1, 1, 1, 1, 1], 1, 1, 1)",1
1259,"([5, 2, 2, 2, 2, 2, 1], 16/7, 2, 2)",16/7
1277,"([1, 1, 1, 1, 1, 1, 1, 1, 0], 8/9, 1, 1)",8/9
